Código,Ação,Tipo,Qtde. Teórica,Part. (%),Segmento,Valor de Mercado,FFO Yield,Dividend Yield
CACR11,CARTESIA FII,CI  ERS,4.836.324,0.316,Híbrido,428015000.0,16.46,17.95
AFHI11,FII AFHI CRI,CI,4.555.618,0.311,Títulos e Val. Mob.,420894000.0,11.64,12.5
AJFI11,FII AJ MALLS,CI,31.625.978,0.169,Títulos e Val. Mob.,229288000.0,11.44,11.15
ALZR11,FII ALIANZA,CI,122.266.250,0.908,Híbrido,1228780000.0,8.33,9.49
RZAT11,FII ARCTIUM,CI,4.235.042,0.282,Híbrido,381535000.0,-58.06,13.81
FATN11,FII ATHENA I,CI  ER,4.234.552,0.257,Híbrido,382039000.0,8.71,8.68
ARRI11,FII ATRIO,CI  ER,20.726.973,0.105,Títulos e Val. Mob.,142602000.0,10.36,15.65
AIEC11,FII AUTONOMY,CI  ER,4.824.987,0.164,Lajes Corporativas,222046000.0,17.69,12.91
BBIG11,FII BBIG,CI  ER,99.120.994,0.504,Shoppings,681952000.0,13.34,14.39
BRCR11,FII BC FUND,CI,26.638.202,0.821,Híbrido,1111080000.0,11.76,13.39
BCIA11,FII BCIA,CI  ER,3.719.038,0.227,Títulos e Val. Mob.,307639000.0,13.24,12.26
BCRI11,FII BEES CRI,CI  ER,6.257.873,0.295,Títulos e Val. Mob.,399252000.0,14.19,15.09
BLMG11,FII BLUE LOG,CI,4.268.807,0.106,Outros,156551000.0,13.04,11.89
BRCO11,FII BRESCO,CI  ER,15.905.133,1.248,Logística,1690080000.0,7.75,9.91
BROF11,FII BROF,CI,11.610.812,0.458,Híbrido,619669000.0,10.94,11.79
BTAL11,FII BTG AGRO,CI,5.982.736,0.344,Outros,466773000.0,20.28,12.99
BTCI11,FII BTG CRI,CI,99.521.172,0.672,Títulos e Val. Mob.,909623000.0,12.06,12.15
BPML11,FII BTG SHOP,CI,7.441.745,0.433,Híbrido,586558000.0,12.5,15.66
BTHF11,FII BTHF,CI,205.846.940,1.251,Híbrido,1694120000.0,7.48,9.02
BTLG11,FII BTLG,CI,43.249.151,3.147,Híbrido,4260040000.0,8.83,9.49
CCME11,FII CANUMA,CI,67.797.053,0.434,Outros,587800000.0,10.69,11.17
CPTS11,FII CAPI SEC,CI,317.828.140,1.702,Títulos e Val. Mob.,2382050000.0,8.31,12.86
ICRI11,FII CI IPCA,CI  ER,3.857.359,0.263,Títulos e Val. Mob.,355533000.0,11.48,14.72
CLIN11,FII CLAVE IN,CI,4.346.763,0.285,Títulos e Val. Mob.,385384000.0,12.55,13.75
CPSH11,FII CPSH,CI,79.699.818,0.553,Shoppings,749178000.0,6.01,12.83
CVBI11,FII CVBI VBI,CI,11.010.228,0.702,Títulos e Val. Mob.,949742000.0,13.33,13.47
CYCR11,FII CYRELA,CI  ER,36.549.445,0.231,Títulos e Val. Mob.,,,
DEVA11,FII DEVANT,CI,14.044.908,0.336,Títulos e Val. Mob.,454353000.0,16.46,16.14
VRTA11,FII FATOR VE,CI  ER,15.592.424,0.856,Títulos e Val. Mob.,1158670000.0,13.69,13.31
GTWR11,FII G TOWERS,CI  ER,12.000.000,0.66,Lajes Corporativas,894000000.0,13.49,13.2
GZIT11,FII GAZIT,CI,21.841.231,0.708,Híbrido,957956000.0,10.74,20.95
GGRC11,FII GGRCOVEP,CI  ER,122.285.100,0.87,Logística,1468150000.0,8.52,12.19
